timestamp,mechanism,run_number,n_params,n_data,success,converged,nll,aic,bic,message,n2,N2,k,k_max,tau,r21,r23,R21,R23,burst_size,n_inner,alpha,beta_k,beta_tau,beta_tau2,beta2_k,beta3_k,params_json
2025-11-17T22:40:52,simple,1,11,1423,True,True,6983.342783967439,13988.685567934877,14046.551316513865,Converged successfully,8.0,89.0,0.027077466792377353,,,0.6805577059131147,3.704506176437534,0.5876956568379654,4.813941028867507,,,0.46382083901857746,0.4347918111884865,,,0.49130752756614354,0.23618210758004368,"{""n2"": 8.0, ""N2"": 89.0, ""k"": 0.027077466792377353, ""r21"": 0.6805577059131147, ""r23"": 3.704506176437534, ""R21"": 0.5876956568379654, ""R23"": 4.813941028867507, ""alpha"": 0.46382083901857746, ""beta_k"": 0.4347918111884865, ""beta2_k"": 0.49130752756614354, ""beta3_k"": 0.23618210758004368}"
2025-11-17T22:40:52,simple,2,11,1423,True,True,6983.635963179547,13989.271926359093,14047.137674938082,Converged successfully,2.0,955.0,0.0530956398055762,,,0.26861510177124104,2.60412712968944,0.502747660193249,3.8867021873747793,,,0.42897085680236285,0.44778570303387255,,,0.4988502988855921,0.24052652970466332,"{""n2"": 2.0, ""N2"": 955.0, ""k"": 0.0530956398055762, ""r21"": 0.26861510177124104, ""r23"": 2.60412712968944, ""R21"": 0.502747660193249, ""R23"": 3.8867021873747793, ""alpha"": 0.42897085680236285, ""beta_k"": 0.44778570303387255, ""beta2_k"": 0.4988502988855921, ""beta3_k"": 0.24052652970466332}"
2025-11-17T22:40:52,simple,3,11,1423,True,True,6985.9337173385875,13993.867434677175,14051.733183256163,Converged successfully,2.0,997.0,0.053215747696862964,,,0.32459597904627957,1.778850389356798,0.5022869649269522,3.23964361161518,,,0.5246471126176837,0.45863201628304445,,,0.5047880907182574,0.2436106328122513,"{""n2"": 2.0, ""N2"": 997.0, ""k"": 0.053215747696862964, ""r21"": 0.32459597904627957, ""r23"": 1.778850389356798, ""R21"": 0.5022869649269522, ""R23"": 3.23964361161518, ""alpha"": 0.5246471126176837, ""beta_k"": 0.45863201628304445, ""beta2_k"": 0.5047880907182574, ""beta3_k"": 0.2436106328122513}"
2025-11-17T22:40:52,simple,4,11,1423,True,True,6983.870704182526,13989.741408365053,14047.607156944041,Converged successfully,3.0,992.0,0.04511515211131952,,,0.66269687165593,3.43023216949254,0.6105269348024552,4.788956222101875,,,0.2697621098728261,0.42803846953882574,,,0.4761502083587141,0.22936979626383053,"{""n2"": 3.0, ""N2"": 992.0, ""k"": 0.04511515211131952, ""r21"": 0.66269687165593, ""r23"": 3.43023216949254, ""R21"": 0.6105269348024552, ""R23"": 4.788956222101875, ""alpha"": 0.2697621098728261, ""beta_k"": 0.42803846953882574, ""beta2_k"": 0.4761502083587141, ""beta3_k"": 0.22936979626383053}"
2025-11-17T22:40:52,simple,5,11,1423,True,True,6984.0473359015095,13990.094671803019,14047.960420382007,Converged successfully,24.0,900.0,0.01844004927896699,,,0.47854117935493745,1.6476085617516802,0.43833139885778116,2.015111753940198,,,0.48458923995497316,0.43587185493942343,,,0.4912685387988267,0.23632965425799413,"{""n2"": 24.0, ""N2"": 900.0, ""k"": 0.01844004927896699, ""r21"": 0.47854117935493745, ""r23"": 1.6476085617516802, ""R21"": 0.43833139885778116, ""R23"": 2.015111753940198, ""alpha"": 0.48458923995497316, ""beta_k"": 0.43587185493942343, ""beta2_k"": 0.4912685387988267, ""beta3_k"": 0.23632965425799413}"
2025-11-17T22:40:52,simple,6,11,1423,True,True,6983.747053024639,13989.494106049278,14047.359854628266,Converged successfully,7.0,931.0,0.031151088946538473,,,0.60996119973122,3.2913781319649504,0.5358377982752455,4.349825397034768,,,0.40746089513471034,0.42832678005465935,,,0.4857706407694056,0.23352122165634545,"{""n2"": 7.0, ""N2"": 931.0, ""k"": 0.031151088946538473, ""r21"": 0.60996119973122, ""r23"": 3.2913781319649504, ""R21"": 0.5358377982752455, ""R23"": 4.349825397034768, ""alpha"": 0.40746089513471034, ""beta_k"": 0.42832678005465935, ""beta2_k"": 0.4857706407694056, ""beta3_k"": 0.23352122165634545}"
2025-11-17T22:40:52,simple,7,11,1423,True,True,6983.342879722753,13988.685759445507,14046.551508024495,Converged successfully,8.0,77.0,0.026909172853026277,,,0.6732304929260562,3.728008411976714,0.586527137807742,4.812193897198252,,,0.47484428060037764,0.43424418526529207,,,0.4902020132278153,0.23577014502866747,"{""n2"": 8.0, ""N2"": 77.0, ""k"": 0.026909172853026277, ""r21"": 0.6732304929260562, ""r23"": 3.728008411976714, ""R21"": 0.586527137807742, ""R23"": 4.812193897198252, ""alpha"": 0.47484428060037764, ""beta_k"": 0.43424418526529207, ""beta2_k"": 0.4902020132278153, ""beta3_k"": 0.23577014502866747}"
2025-11-17T22:40:52,simple,8,11,1423,True,True,6983.6354464734995,13989.270892946999,14047.136641525987,Converged successfully,2.0,925.0,0.053035839155853526,,,0.4836580121666161,2.668220380378234,0.5034948649857152,3.8825523359669267,,,0.4525288374303189,0.44837598041318777,,,0.4996415940552903,0.2406845489982095,"{""n2"": 2.0, ""N2"": 925.0, ""k"": 0.053035839155853526, ""r21"": 0.4836580121666161, ""r23"": 2.668220380378234, ""R21"": 0.5034948649857152, ""R23"": 3.8825523359669267, ""alpha"": 0.4525288374303189, ""beta_k"": 0.44837598041318777, ""beta2_k"": 0.4996415940552903, ""beta3_k"": 0.2406845489982095}"
2025-11-17T22:40:52,simple,9,11,1423,True,True,6983.7461427097305,13989.492285419461,14047.35803399845,Converged successfully,2.0,50.0,0.0506438714431162,,,0.5501105332075804,3.128367189283839,0.5070680462205724,4.562125875112268,,,0.5241282242172449,0.4519097223071435,,,0.5061661484677081,0.2437572639355988,"{""n2"": 2.0, ""N2"": 50.0, ""k"": 0.0506438714431162, ""r21"": 0.5501105332075804, ""r23"": 3.128367189283839, ""R21"": 0.5070680462205724, ""R23"": 4.562125875112268, ""alpha"": 0.5241282242172449, ""beta_k"": 0.4519097223071435, ""beta2_k"": 0.5061661484677081, ""beta3_k"": 0.2437572639355988}"
2025-11-17T22:40:52,simple,10,11,1423,True,True,6983.746103122734,13989.492206245468,14047.357954824456,Converged successfully,2.0,50.0,0.05063481799059171,,,0.3817415018622916,3.0332662033452937,0.5055933342489836,4.571302240652738,,,0.46413072504227,0.4519854573131497,,,0.5063269174453671,0.24382229333274275,"{""n2"": 2.0, ""N2"": 50.0, ""k"": 0.05063481799059171, ""r21"": 0.3817415018622916, ""r23"": 3.0332662033452937, ""R21"": 0.5055933342489836, ""R23"": 4.571302240652738, ""alpha"": 0.46413072504227, ""beta_k"": 0.4519854573131497, ""beta2_k"": 0.5063269174453671, ""beta3_k"": 0.24382229333274275}"
2025-11-18T07:39:14,fixed_burst,1,12,1423,True,False,6983.766683475838,,,Maximum number of iterations has been exceeded.,8.0,799.0,0.0206110678053611,,,0.6550388799944991,2.972312208725863,0.5710064294274503,4.684612883006826,2.0,,0.43291296491207987,0.4437208544330298,,,0.4966533896359967,0.2382395633683944,"{""n2"": 8.0, ""N2"": 799.0, ""k"": 0.0206110678053611, ""r21"": 0.6550388799944991, ""r23"": 2.972312208725863, ""R21"": 0.5710064294274503, ""R23"": 4.684612883006826, ""burst_size"": 2.0, ""alpha"": 0.43291296491207987, ""beta_k"": 0.4437208544330298, ""beta2_k"": 0.4966533896359967, ""beta3_k"": 0.2382395633683944}"
2025-11-18T07:39:14,fixed_burst,2,12,1423,True,False,6983.827785923659,,,Maximum number of iterations has been exceeded.,13.0,420.0,0.011272542256710469,,,0.6979532949256102,3.14940038344881,0.5305101266572807,4.86813408898423,4.0,,0.3629359435449599,0.42599165114698023,,,0.48005882426039237,0.23043425619456664,"{""n2"": 13.0, ""N2"": 420.0, ""k"": 0.011272542256710469, ""r21"": 0.6979532949256102, ""r23"": 3.14940038344881, ""R21"": 0.5305101266572807, ""R23"": 4.86813408898423, ""burst_size"": 4.0, ""alpha"": 0.3629359435449599, ""beta_k"": 0.42599165114698023, ""beta2_k"": 0.48005882426039237, ""beta3_k"": 0.23043425619456664}"
2025-11-18T07:39:14,fixed_burst,3,12,1423,True,False,6983.7909111909585,,,Maximum number of iterations has been exceeded.,5.0,354.0,0.02699538489252116,,,0.7171921587622583,2.5435562960354208,0.45081467296343036,4.256531561865275,2.0,,0.4527317667473943,0.4496226990224557,,,0.5024947540253636,0.24466729487870043,"{""n2"": 5.0, ""N2"": 354.0, ""k"": 0.02699538489252116, ""r21"": 0.7171921587622583, ""r23"": 2.5435562960354208, ""R21"": 0.45081467296343036, ""R23"": 4.256531561865275, ""burst_size"": 2.0, ""alpha"": 0.4527317667473943, ""beta_k"": 0.4496226990224557, ""beta2_k"": 0.5024947540253636, ""beta3_k"": 0.24466729487870043}"
2025-11-18T07:39:14,fixed_burst,4,12,1423,True,False,6984.098004109808,,,Maximum number of iterations has been exceeded.,8.0,255.0,0.013874918075237871,,,0.702737621329206,2.6847018278805455,0.43472536333211287,4.1543928829302015,4.0,,0.5220231053515364,0.4387874290291549,,,0.48616841873013256,0.2310568470762624,"{""n2"": 8.0, ""N2"": 255.0, ""k"": 0.013874918075237871, ""r21"": 0.702737621329206, ""r23"": 2.6847018278805455, ""R21"": 0.43472536333211287, ""R23"": 4.1543928829302015, ""burst_size"": 4.0, ""alpha"": 0.5220231053515364, ""beta_k"": 0.4387874290291549, ""beta2_k"": 0.48616841873013256, ""beta3_k"": 0.2310568470762624}"
2025-11-18T07:39:14,fixed_burst,5,12,1423,True,False,6983.664502032304,,,Maximum number of iterations has been exceeded.,7.0,288.0,0.017301642975664437,,,0.6934148800763134,2.3821278594892488,0.4246904960168989,4.096228824871714,3.0,,0.5445247863750031,0.4607065442842172,,,0.49792263952373644,0.24751586272435766,"{""n2"": 7.0, ""N2"": 288.0, ""k"": 0.017301642975664437, ""r21"": 0.6934148800763134, ""r23"": 2.3821278594892488, ""R21"": 0.4246904960168989, ""R23"": 4.096228824871714, ""burst_size"": 3.0, ""alpha"": 0.5445247863750031, ""beta_k"": 0.4607065442842172, ""beta2_k"": 0.49792263952373644, ""beta3_k"": 0.24751586272435766}"
2025-11-18T07:39:14,fixed_burst,6,12,1423,True,False,6983.978938800604,,,Maximum number of iterations has been exceeded.,12.0,475.0,0.014183568369974038,,,0.7066490298619001,2.965412227693079,0.5364134015559497,4.955777395453035,3.0,,0.45615458797926683,0.4300900560909183,,,0.47742905162381155,0.23140358393572052,"{""n2"": 12.0, ""N2"": 475.0, ""k"": 0.014183568369974038, ""r21"": 0.7066490298619001, ""r23"": 2.965412227693079, ""R21"": 0.5364134015559497, ""R23"": 4.955777395453035, ""burst_size"": 3.0, ""alpha"": 0.45615458797926683, ""beta_k"": 0.4300900560909183, ""beta2_k"": 0.47742905162381155, ""beta3_k"": 0.23140358393572052}"
2025-11-18T07:39:14,fixed_burst,7,12,1423,True,False,6983.30398618388,,,Maximum number of iterations has been exceeded.,8.0,828.0,0.012085459842529435,,,0.7781647390749098,2.857901432311724,0.4076646378936446,4.3307403990343545,5.0,,0.41284660599237005,0.4356258831183064,,,0.5170954335333573,0.23708367180613038,"{""n2"": 8.0, ""N2"": 828.0, ""k"": 0.012085459842529435, ""r21"": 0.7781647390749098, ""r23"": 2.857901432311724, ""R21"": 0.4076646378936446, ""R23"": 4.3307403990343545, ""burst_size"": 5.0, ""alpha"": 0.41284660599237005, ""beta_k"": 0.4356258831183064, ""beta2_k"": 0.5170954335333573, ""beta3_k"": 0.23708367180613038}"
2025-11-18T07:39:14,fixed_burst,8,12,1423,True,False,6981.962656547796,,,Maximum number of iterations has been exceeded.,3.0,291.0,0.030450344346132578,,,0.7163488116232015,3.262486808157888,0.40185114638152053,4.738404123866686,2.0,,0.4175612354247051,0.43631605002327783,,,0.49676123633106994,0.23886696633528998,"{""n2"": 3.0, ""N2"": 291.0, ""k"": 0.030450344346132578, ""r21"": 0.7163488116232015, ""r23"": 3.262486808157888, ""R21"": 0.40185114638152053, ""R23"": 4.738404123866686, ""burst_size"": 2.0, ""alpha"": 0.4175612354247051, ""beta_k"": 0.43631605002327783, ""beta2_k"": 0.49676123633106994, ""beta3_k"": 0.23886696633528998}"
2025-11-18T07:39:14,fixed_burst,9,12,1423,True,False,6983.629394867808,,,Maximum number of iterations has been exceeded.,7.0,841.0,0.02073689742473469,,,0.8657485220893224,3.732911547772787,0.5687461350146215,4.9277782037347215,2.0,,0.4488414842902399,0.435197456854819,,,0.4883820827824314,0.2351489134172131,"{""n2"": 7.0, ""N2"": 841.0, ""k"": 0.02073689742473469, ""r21"": 0.8657485220893224, ""r23"": 3.732911547772787, ""R21"": 0.5687461350146215, ""R23"": 4.9277782037347215, ""burst_size"": 2.0, ""alpha"": 0.4488414842902399, ""beta_k"": 0.435197456854819, ""beta2_k"": 0.4883820827824314, ""beta3_k"": 0.2351489134172131}"
2025-11-18T07:39:14,fixed_burst,10,12,1423,True,False,6983.74856373507,,,Maximum number of iterations has been exceeded.,8.0,625.0,0.021010402539498072,,,0.6710290880138392,2.982624774298502,0.5279626572222343,4.586495472063333,2.0,,0.3934727641577363,0.43363084478097313,,,0.48895237932255076,0.2349904634065534,"{""n2"": 8.0, ""N2"": 625.0, ""k"": 0.021010402539498072, ""r21"": 0.6710290880138392, ""r23"": 2.982624774298502, ""R21"": 0.5279626572222343, ""R23"": 4.586495472063333, ""burst_size"": 2.0, ""alpha"": 0.3934727641577363, ""beta_k"": 0.43363084478097313, ""beta2_k"": 0.48895237932255076, ""beta3_k"": 0.2349904634065534}"
